Name,Genus,Species,Kingdom,Subphylum,Class,Order,Family,Attributes
White-striped woodcreeper,Lepidocolaptes,Lepidocolaptes leucogaster,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Black-breasted myzomela,Myzomela,Myzomela vulnerata,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Drab-breasted bamboo tyrant,Hemitriccus,Hemitriccus diops,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Paramo ground tyrant,Muscisaxicola,Muscisaxicola alpinus,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Baird's flycatcher,Myiodynastes,Myiodynastes bairdii,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Moluccan drongo-cuckoo,Surniculus,Surniculus musschenbroeki,Animalia,0,Aves,Cuculiformes,Cuculidae,"Terrestrial,Not a migrant,starts with"
Rufous-backed antvireo,Dysithamnus,Dysithamnus xanthopterus,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
White-spotted mannikin,Lonchura,Lonchura leucosticta,Animalia,0,Aves,Passeriformes,Estrildidae,"Terrestrial,Not a migrant,starts with"
Western bearded greenbul,Criniger,Criniger barbatus,Animalia,0,Aves,Passeriformes,Pycnonotidae,"Terrestrial,Not a migrant,starts with"
Slaty-backed jungle flycatcher,Vauriella,Vauriella goodfellowi,Animalia,0,Aves,Passeriformes,Muscicapidae,"Terrestrial,Not a migrant,starts with"
Scopus xenopus,Scopus,Scopus xenopus,Animalia,0,Aves,Pelecaniformes,Scopidae,starts with
White-crowned cliff chat,Thamnolaea,Thamnolaea coronata,Animalia,0,Aves,Passeriformes,Muscicapidae,starts with
Black-backed bush tanager,Urothraupis,Urothraupis stolzmanni,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Black-tailed antbird,Myrmoborus,Myrmoborus melanurus,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Hoffmanns's woodcreeper,Dendrocolaptes,Dendrocolaptes hoffmannsi,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Orange-browed hemispingus,Kleinothraupis,Kleinothraupis calophrys,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Puna tapaculo,Scytalopus,Scytalopus simonsi,Animalia,0,Aves,Passeriformes,Rhinocryptidae,"Terrestrial,Not a migrant,starts with"
Smoky bush tyrant,Myiotheretes,Myiotheretes fumigatus,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Yellow-browed tody-flycatcher,Todirostrum,Todirostrum chrysocrotaphum,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Chaco earthcreeper,Tarphonomus,Tarphonomus certhioides,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Grey antbird,Cercomacra,Cercomacra cinerascens,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Crimson-rumped myzomela,Myzomela,Myzomela eichhorni,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Makira cicadabird,Edolisoma,Edolisoma salomonis,Animalia,0,Aves,Passeriformes,Campephagidae,"Terrestrial,Migrating,starts with"
Northern white-crowned tapaculo,Scytalopus,Scytalopus atratus,Animalia,0,Aves,Passeriformes,Rhinocryptidae,"Terrestrial,Not a migrant,starts with"
Sooty shrikethrush,Pachycephala,Colluricincla tenebrosa,Animalia,0,Aves,Passeriformes,Pachycephalidae,"Terrestrial,Not a migrant,starts with"
Rufous-sided honeyeater,Ptiloprora,Ptiloprora erythropleura,Animalia,0,Aves,Passeriformes,Meliphagidae,"Terrestrial,Not a migrant,starts with"
Streak-headed white-eye,Heleia,Heleia squamiceps,Animalia,0,Aves,Passeriformes,Zosteropidae,"Terrestrial,Not a migrant,starts with"
Stripe-necked tody-tyrant,Hemitriccus,Hemitriccus striaticollis,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Caracas tapaculo,Scytalopus,Scytalopus caracae,Animalia,0,Aves,Passeriformes,Rhinocryptidae,"Terrestrial,Not a migrant,starts with"
Black-throated tody-tyrant,Hemitriccus,Hemitriccus granadensis,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Creamy-bellied antwren,Herpsilochmus,Herpsilochmus motacilloides,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
Elgon francolin,Scleroptila,Scleroptila psilolaema elgonensis,Animalia,0,Aves,Galliformes,Phasianidae,"Terrestrial,Not a migrant,starts with"
Hermit wood wren,Henicorhina,Henicorhina anachoreta,Animalia,0,Aves,Passeriformes,Troglodytidae,"Terrestrial,Not a migrant,starts with"
Blue-browed tanager,Tangara,Tangara cyanotis,Animalia,0,Aves,Passeriformes,Thraupidae,"Terrestrial,Not a migrant,starts with"
Streak-breasted treehunter,Thripadectes,Thripadectes rufobrunneus,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Thick-billed miner,Geositta,Geositta crassirostris,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Buff-faced scrubwren,Sericornis,Aethomyias perspicillatus,Animalia,0,Aves,Passeriformes,Acanthizidae,"Terrestrial,Not a migrant,starts with"
Campo miner,Geositta,Geositta poeciloptera,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Costa Rican brushfinch,Arremon,Arremon costaricensis,Animalia,0,Aves,Passeriformes,Passerellidae,"Terrestrial,Not a migrant,starts with"
Black-fronted white-eye,Zosterops,Zosterops minor,Animalia,0,Aves,Passeriformes,Zosteropidae,"Terrestrial,Not a migrant,starts with"
